start_time,open_price,high_price,low_price,close_price,volume,turnover,category,symbol,interval,pivot,support,support_2,resistance,resistance_2,dtt
1726891200000,62894.0,62940.86,62808.52,62813.01,789.396135,49621475.80032455,spot,BTCUSDT,60,62854.130000000005,62767.40000000001,62721.79,62899.74000000001,62986.47000000001,2024-09-21 04:00:00+00:00
1726887600000,62907.35,63008.65,62876.0,62894.0,366.762191,23082051.79129832,spot,BTCUSDT,60,62926.21666666667,62843.78333333333,62793.566666666666,62976.433333333334,63058.86666666667,2024-09-21 03:00:00+00:00
1726884000000,62834.0,62996.07,62807.68,62907.35,736.699947,46341526.98365553,spot,BTCUSDT,60,62903.700000000004,62811.33000000001,62715.310000000005,62999.72000000001,63092.090000000004,2024-09-21 02:00:00+00:00
1726880400000,63169.98,63201.76,62830.95,62834.0,1036.999837,65317383.4792475,spot,BTCUSDT,60,62955.57,62709.38,62584.759999999995,63080.19,63326.380000000005,2024-09-21 01:00:00+00:00
1726876800000,63201.84,63316.2,63039.55,63169.98,942.884623,59572747.25103991,spot,BTCUSDT,60,63175.24333333334,63034.28666666668,62898.593333333345,63310.936666666676,63451.89333333333,2024-09-21 00:00:00+00:00
1726873200000,63178.01,63223.15,63071.25,63201.84,487.488802,30776300.72377118,spot,BTCUSDT,60,63165.41333333333,63107.67666666666,63013.51333333333,63259.57666666666,63317.31333333333,2024-09-20 23:00:00+00:00
1726869600000,63113.73,63277.98,63113.73,63178.01,384.032335,24279200.93362284,spot,BTCUSDT,60,63189.90666666667,63101.833333333336,63025.65666666667,63266.083333333336,63354.15666666667,2024-09-20 22:00:00+00:00
1726866000000,62815.87,63298.2,62810.51,63113.73,650.667806,41109192.2744715,spot,BTCUSDT,60,63074.14666666667,62850.09333333334,62586.45666666667,63337.78333333333,63561.83666666666,2024-09-20 21:00:00+00:00
1726862400000,62800.83,62947.27,62698.91,62815.87,477.039346,29961918.3193151,spot,BTCUSDT,60,62820.68333333333,62694.09666666666,62572.323333333334,62942.45666666665,63069.04333333332,2024-09-20 20:00:00+00:00
1726858800000,62868.54,63022.11,62776.56,62800.83,1174.016412,73856567.12171394,spot,BTCUSDT,60,62866.5,62710.89,62620.95,62956.44,63112.05,2024-09-20 19:00:00+00:00
