start_time,open_price,high_price,low_price,close_price,volume,turnover,category,symbol,interval,resistance,support
1726088400000,57479.41,57559.54,57250.01,57358.33,449.620924,25805210.29970703,spot,BTCUSDT,60,60000.0,57208.66
1726084800000,57584.78,57682.39,57433.07,57479.41,665.055058,38270812.35527134,spot,BTCUSDT,60,60000.0,57208.66
1726081200000,57499.83,57782.85,57324.32,57584.78,789.042178,45393394.96409908,spot,BTCUSDT,60,59974.59,57208.66
1726077600000,57698.84,57991.0,57380.0,57499.83,1213.169462,70057994.20453273,spot,BTCUSDT,60,59974.59,57208.66
1726074000000,57312.77,57883.39,57250.95,57698.84,1026.714836,59175931.60850585,spot,BTCUSDT,60,59800.54,57208.66
1726070400000,56700.22,57536.09,56649.5,57312.77,1131.225724,64565417.71710895,spot,BTCUSDT,60,59732.87,56649.5
1726066800000,55973.42,57018.37,55851.2,56700.22,1294.142788,73073924.3738532,spot,BTCUSDT,60,58582.8,55851.2
1726063200000,55737.67,56029.82,55555.0,55973.42,1441.85431,80445422.42273024,spot,BTCUSDT,60,58582.8,55555.0
1726059600000,56742.5,57171.94,55709.6,55737.67,1769.451559,99922098.0770594,spot,BTCUSDT,60,58582.8,55555.0
1726056000000,56800.59,56927.57,56273.98,56742.5,1688.79933,95708125.75556786,spot,BTCUSDT,60,58582.8,55555.0
1726052400000,56517.08,56884.61,56514.25,56800.59,1259.421854,71451926.87267664,spot,BTCUSDT,60,58582.8,55555.0
1726048800000,56679.02,56707.04,56331.95,56517.08,1194.996306,67558443.41512232,spot,BTCUSDT,60,58582.8,55555.0
1726045200000,56404.72,56745.34,56378.1,56679.02,1012.439684,57282731.00128194,spot,BTCUSDT,60,58582.8,55555.0
1726041600000,56713.98,56722.35,56354.35,56404.72,1627.045145,91953011.99063194,spot,BTCUSDT,60,58582.8,55555.0
1726038000000,56463.46,56787.94,56463.46,56713.98,1248.0763,70662114.73885877,spot,BTCUSDT,60,58582.8,55555.0
1726034400000,56245.61,56584.87,56169.57,56463.46,1311.176553,73981300.4126528,spot,BTCUSDT,60,58582.8,55555.0
1726030800000,56523.62,56539.85,56093.06,56245.61,1043.106021,58703380.12223115,spot,BTCUSDT,60,58582.8,55555.0
1726027200000,56813.85,56813.85,56227.02,56523.62,1226.796919,69311264.44745074,spot,BTCUSDT,60,58582.8,55555.0
1726023600000,56919.25,56975.25,56675.76,56813.85,847.410748,48138259.06500212,spot,BTCUSDT,60,58582.8,55555.0
1726020000000,56719.06,57170.78,56685.0,56919.25,824.568685,46970125.1643174,spot,BTCUSDT,60,58582.8,55555.0
1726016400000,57640.88,57757.51,56671.4,56719.06,1422.815181,81421228.03292213,spot,BTCUSDT,60,58582.8,55555.0
1726012800000,57643.48,57693.68,57438.4,57640.88,955.815807,55036561.9521614,spot,BTCUSDT,60,58582.8,55555.0
1726009200000,57611.98,57874.35,57578.02,57643.48,772.234897,44541680.63093703,spot,BTCUSDT,60,58582.8,55555.0
1726005600000,57520.73,57687.57,57451.32,57611.98,736.623267,42401051.63851357,spot,BTCUSDT,60,58582.8,55555.0
1726002000000,57575.76,57764.39,57451.8,57520.73,367.092584,21145536.4695857,spot,BTCUSDT,60,58582.8,55555.0
1725998400000,57956.33,57984.34,57535.95,57575.76,778.327445,44971541.4500539,spot,BTCUSDT,60,58582.8,55555.0
1725994800000,57586.29,58052.21,57325.0,57956.33,851.013302,49120644.51474128,spot,BTCUSDT,60,58582.8,55555.0
